Company Name,Sponsor/Director,Government,Institute,Foreign,Public,Paid Up Capital (BDT mn),Beginning Revenue,Ending Revenue,Beginning NPAT,Ending NPAT,NPAT,Beginning Asset,Ending Asset,NPAT-non Controlling Interest,Beginning Equity,Ending Equity,NAVPS,DPS
Company 1,,,,,,,,,,,,,,,,,,
Company 2,,,,,,,,,,,,,,,,,,
Company 3,,,,,,,,,,,,,,,,,,
Company 4,,,,,,,,,,,,,,,,,,
Company 5,,,,,,,,,,,,,,,,,,
Company 6,,,,,,,,,,,,,,,,,,
Company 7,,,,,,,,,,,,,,,,,,
Company 8,,,,,,,,,,,,,,,,,,
Company 9,,,,,,,,,,,,,,,,,,
Company 10,,,,,,,,,,,,,,,,,,
